Start Date,End Date,Event Name,Page Path,Event Count,Total Users,Pulled At
28daysAgo,yesterday,user_engagement,/betigma-your-premier-destination-for-remarkable-online-gaming-experience/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/case-studies/woocommerce-price-list-manager-plugin/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/category/integrations/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/custom-post-type-in-wordpress-cpt/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/glorion-casino-nervenkitzel-und-spielspa-auf-hochstem-niveau/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/home-2/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/hvilke-betaling-metode-lever-brukbar-atomnummer-85-sg8-kasino-21-casino-norway-join-the-action/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/manuale-esaustiva-ai-siti-di-gioco-non-aams-possibilita-e-vantaggi-per/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/my-account/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/nejvyi-mezinarodni-online-casino-komplexni-manual-pro-uivatele/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/privacy-policy/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/product/wr-ultimate-price-list/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/representere-p-det-punktet-hva-som-helst-ulempe-med-7xm-casino-norge-join-the-action-casino-nine/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/utforska-nyaste-digitalt-spel-roulette-slottio-casino-se/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/why-woocommerce-inventory-sync-breaks-between-multiple-sales-channels/,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/wr-log,1,1,6/29/2026
28daysAgo,yesterday,user_engagement,/wr-price-list-pro/,1,1,6/29/2026
28daysAgo,yesterday,whatsapp_click,/contact/,1,1,6/29/2026
